Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume
2022/6/30, 02:54:00.0, 3782.00, 3782.00, 3780.50, 3781.00, 256, 212, 3781.38, 3781.17, 3781.25, 167, 89
2022/6/30, 02:55:00.0, 3781.00, 3781.00, 3778.50, 3779.00, 606, 521, 3779.88, 3779.50, 3779.75, 367, 239
2022/6/30, 02:56:00.0, 3779.00, 3779.00, 3778.25, 3778.50, 309, 271, 3778.69, 3778.58, 3778.63, 189, 120
2022/6/30, 02:57:00.0, 3778.75, 3780.75, 3777.75, 3779.50, 468, 361, 3779.19, 3779.33, 3779.25, 239, 229
2022/6/30, 02:58:00.0, 3779.75, 3782.50, 3779.50, 3781.00, 510, 417, 3780.69, 3781.00, 3781.00, 222, 288
2022/6/30, 02:59:00.0, 3781.25, 3781.25, 3779.50, 3780.00, 507, 450, 3780.50, 3780.25, 3780.38, 265, 242
2022/6/30, 03:00:00.0, 3780.00, 3781.50, 3779.25, 3781.00, 724, 585, 3780.44, 3780.58, 3780.38, 360, 364
2022/6/30, 03:01:00.0, 3780.75, 3782.25, 3780.50, 3781.00, 848, 702, 3781.13, 3781.25, 3781.38, 497, 351
2022/6/30, 03:02:00.0, 3780.75, 3782.75, 3780.00, 3782.50, 653, 523, 3781.50, 3781.75, 3781.38, 338, 315
2022/6/30, 03:03:00.0, 3782.50, 3783.50, 3781.50, 3782.75, 502, 410, 3782.56, 3782.58, 3782.50, 238, 264
2022/6/30, 03:04:00.0, 3782.75, 3785.00, 3782.75, 3784.50, 919, 705, 3783.75, 3784.08, 3783.88, 414, 505
2022/6/30, 03:05:00.0, 3784.50, 3786.50, 3784.00, 3786.00, 598, 492, 3785.25, 3785.50, 3785.25, 242, 356
2022/6/30, 03:06:00.0, 3786.00, 3786.25, 3783.50, 3783.75, 792, 633, 3784.88, 3784.50, 3784.88, 505, 287
2022/6/30, 03:07:00.0, 3783.75, 3785.00, 3783.25, 3783.75, 411, 349, 3783.94, 3784.00, 3784.13, 198, 213
2022/6/30, 03:08:00.0, 3783.75, 3783.75, 3781.00, 3781.50, 651, 540, 3782.50, 3782.08, 3782.38, 398, 253
